id,name,varId,val,year-month
011200000000,MAŁOPOLSKIE,461682,5.3,2018-03
011200000000,MAŁOPOLSKIE,461682,4.7,2019-03
011200000000,MAŁOPOLSKIE,461682,4.3,2020-03
011200000000,MAŁOPOLSKIE,461682,5.5,2021-03
011200000000,MAŁOPOLSKIE,461682,5.0,2022-03
011200000000,MAŁOPOLSKIE,461682,4.6,2023-03
011200000000,MAŁOPOLSKIE,461682,4.4,2024-03
011200000000,MAŁOPOLSKIE,461682,4.4,2025-03
012400000000,ŚLĄSKIE,461682,10.8,2011-03
012400000000,ŚLĄSKIE,461682,11.0,2012-03
012400000000,ŚLĄSKIE,461682,12.0,2013-03
012400000000,ŚLĄSKIE,461682,11.4,2014-03
012400000000,ŚLĄSKIE,461682,9.8,2015-03
012400000000,ŚLĄSKIE,461682,8.2,2016-03
012400000000,ŚLĄSKIE,461682,6.5,2017-03
012400000000,ŚLĄSKIE,461682,5.1,2018-03
012400000000,ŚLĄSKIE,461682,4.4,2019-03
012400000000,ŚLĄSKIE,461682,3.9,2020-03
012400000000,ŚLĄSKIE,461682,5.2,2021-03
012400000000,ŚLĄSKIE,461682,4.4,2022-03
012400000000,ŚLĄSKIE,461682,3.9,2023-03
012400000000,ŚLĄSKIE,461682,3.8,2024-03
012400000000,ŚLĄSKIE,461682,3.9,2025-03
020800000000,LUBUSKIE,461682,16.3,2011-03
020800000000,LUBUSKIE,461682,16.4,2012-03
020800000000,LUBUSKIE,461682,16.9,2013-03
020800000000,LUBUSKIE,461682,15.7,2014-03
020800000000,LUBUSKIE,461682,12.5,2015-03
020800000000,LUBUSKIE,461682,10.5,2016-03
020800000000,LUBUSKIE,461682,8.2,2017-03
020800000000,LUBUSKIE,461682,6.5,2018-03
020800000000,LUBUSKIE,461682,5.8,2019-03
020800000000,LUBUSKIE,461682,5.2,2020-03
020800000000,LUBUSKIE,461682,6.3,2021-03
020800000000,LUBUSKIE,461682,5.0,2022-03
020800000000,LUBUSKIE,461682,4.7,2023-03
020800000000,LUBUSKIE,461682,4.6,2024-03
020800000000,LUBUSKIE,461682,4.8,2025-03
023000000000,WIELKOPOLSKIE,461682,9.9,2011-03
023000000000,WIELKOPOLSKIE,461682,9.9,2012-03
023000000000,WIELKOPOLSKIE,461682,10.7,2013-03
023000000000,WIELKOPOLSKIE,461682,9.6,2014-03
023000000000,WIELKOPOLSKIE,461682,7.8,2015-03
023000000000,WIELKOPOLSKIE,461682,6.2,2016-03
023000000000,WIELKOPOLSKIE,461682,4.9,2017-03
023000000000,WIELKOPOLSKIE,461682,3.7,2018-03
023000000000,WIELKOPOLSKIE,461682,3.2,2019-03
023000000000,WIELKOPOLSKIE,461682,3.1,2020-03
023000000000,WIELKOPOLSKIE,461682,3.9,2021-03
023000000000,WIELKOPOLSKIE,461682,3.2,2022-03
023000000000,WIELKOPOLSKIE,461682,3.2,2023-03
023000000000,WIELKOPOLSKIE,461682,3.2,2024-03
023000000000,WIELKOPOLSKIE,461682,3.3,2025-03
023200000000,ZACHODNIOPOMORSKIE,461682,18.9,2011-03
023200000000,ZACHODNIOPOMORSKIE,461682,18.5,2012-03
023200000000,ZACHODNIOPOMORSKIE,461682,19.0,2013-03
023200000000,ZACHODNIOPOMORSKIE,461682,17.9,2014-03
023200000000,ZACHODNIOPOMORSKIE,461682,15.6,2015-03
023200000000,ZACHODNIOPOMORSKIE,461682,13.1,2016-03
023200000000,ZACHODNIOPOMORSKIE,461682,10.7,2017-03
023200000000,ZACHODNIOPOMORSKIE,461682,8.5,2018-03
023200000000,ZACHODNIOPOMORSKIE,461682,7.5,2019-03
023200000000,ZACHODNIOPOMORSKIE,461682,7.2,2020-03
023200000000,ZACHODNIOPOMORSKIE,461682,8.6,2021-03
023200000000,ZACHODNIOPOMORSKIE,461682,7.3,2022-03
023200000000,ZACHODNIOPOMORSKIE,461682,7.0,2023-03
023200000000,ZACHODNIOPOMORSKIE,461682,7.1,2024-03
023200000000,ZACHODNIOPOMORSKIE,461682,7.1,2025-03
030200000000,DOLNOŚLĄSKIE,461682,13.9,2011-03
030200000000,DOLNOŚLĄSKIE,461682,13.4,2012-03
030200000000,DOLNOŚLĄSKIE,461682,14.5,2013-03
030200000000,DOLNOŚLĄSKIE,461682,13.2,2014-03
030200000000,DOLNOŚLĄSKIE,461682,10.6,2015-03
030200000000,DOLNOŚLĄSKIE,461682,8.8,2016-03
030200000000,DOLNOŚLĄSKIE,461682,7.1,2017-03
030200000000,DOLNOŚLĄSKIE,461682,5.8,2018-03
030200000000,DOLNOŚLĄSKIE,461682,5.3,2019-03
030200000000,DOLNOŚLĄSKIE,461682,4.8,2020-03
030200000000,DOLNOŚLĄSKIE,461682,5.8,2021-03
030200000000,DOLNOŚLĄSKIE,461682,4.9,2022-03
030200000000,DOLNOŚLĄSKIE,461682,4.7,2023-03
030200000000,DOLNOŚLĄSKIE,461682,4.8,2024-03
030200000000,DOLNOŚLĄSKIE,461682,4.9,2025-03
031600000000,OPOLSKIE,461682,14.3,2011-03
031600000000,OPOLSKIE,461682,14.2,2012-03
031600000000,OPOLSKIE,461682,15.7,2013-03
031600000000,OPOLSKIE,461682,14.3,2014-03
031600000000,OPOLSKIE,461682,11.9,2015-03
031600000000,OPOLSKIE,461682,10.2,2016-03
031600000000,OPOLSKIE,461682,8.9,2017-03
031600000000,OPOLSKIE,461682,7.1,2018-03
031600000000,OPOLSKIE,461682,6.2,2019-03
031600000000,OPOLSKIE,461682,6.0,2020-03
031600000000,OPOLSKIE,461682,7.0,2021-03
031600000000,OPOLSKIE,461682,6.4,2022-03
031600000000,OPOLSKIE,461682,6.2,2023-03
031600000000,OPOLSKIE,461682,6.0,2024-03
031600000000,OPOLSKIE,461682,6.1,2025-03
040400000000,KUJAWSKO-POMORSKIE,461682,18.0,2011-03
040400000000,KUJAWSKO-POMORSKIE,461682,17.9,2012-03
040400000000,KUJAWSKO-POMORSKIE,461682,19.0,2013-03
040400000000,KUJAWSKO-POMORSKIE,461682,18.3,2014-03
040400000000,KUJAWSKO-POMORSKIE,461682,15.5,2015-03
040400000000,KUJAWSKO-POMORSKIE,461682,13.5,2016-03
040400000000,KUJAWSKO-POMORSKIE,461682,11.9,2017-03
040400000000,KUJAWSKO-POMORSKIE,461682,9.8,2018-03
040400000000,KUJAWSKO-POMORSKIE,461682,8.8,2019-03
040400000000,KUJAWSKO-POMORSKIE,461682,7.9,2020-03
040400000000,KUJAWSKO-POMORSKIE,461682,9.2,2021-03
040400000000,KUJAWSKO-POMORSKIE,461682,8.0,2022-03
040400000000,KUJAWSKO-POMORSKIE,461682,7.5,2023-03
040400000000,KUJAWSKO-POMORSKIE,461682,7.4,2024-03
040400000000,KUJAWSKO-POMORSKIE,461682,7.5,2025-03
042200000000,POMORSKIE,461682,13.4,2011-03
042200000000,POMORSKIE,461682,13.4,2012-03
042200000000,POMORSKIE,461682,14.6,2013-03
042200000000,POMORSKIE,461682,13.3,2014-03
042200000000,POMORSKIE,461682,11.2,2015-03
042200000000,POMORSKIE,461682,9.0,2016-03
042200000000,POMORSKIE,461682,6.8,2017-03
042200000000,POMORSKIE,461682,5.4,2018-03
042200000000,POMORSKIE,461682,5.1,2019-03
042200000000,POMORSKIE,461682,4.8,2020-03
042200000000,POMORSKIE,461682,6.3,2021-03
042200000000,POMORSKIE,461682,5.1,2022-03
042200000000,POMORSKIE,461682,4.9,2023-03
042200000000,POMORSKIE,461682,4.9,2024-03
042200000000,POMORSKIE,461682,4.9,2025-03
042800000000,WARMIŃSKO-MAZURSKIE,461682,21.4,2011-03
042800000000,WARMIŃSKO-MAZURSKIE,461682,21.2,2012-03
042800000000,WARMIŃSKO-MAZURSKIE,461682,22.4,2013-03
042800000000,WARMIŃSKO-MAZURSKIE,461682,21.6,2014-03
042800000000,WARMIŃSKO-MAZURSKIE,461682,18.7,2015-03
042800000000,WARMIŃSKO-MAZURSKIE,461682,16.4,2016-03
042800000000,WARMIŃSKO-MAZURSKIE,461682,14.0,2017-03
042800000000,WARMIŃSKO-MAZURSKIE,461682,11.7,2018-03
042800000000,WARMIŃSKO-MAZURSKIE,461682,10.4,2019-03
042800000000,WARMIŃSKO-MAZURSKIE,461682,9.5,2020-03
042800000000,WARMIŃSKO-MAZURSKIE,461682,10.6,2021-03
